0 10052.177779735233
1 10550.869229066504
2 10534.597890048039
3 10535.125338168578
4 10535.110942693655
5 10535.113262129784
6 10535.114591500356
7 10535.115650798953
8 10535.116506319233
9 10535.117212845304
10 10535.117806666924
11 10535.118313079445
12 10535.118750272532
13 10535.119131677206
14 10535.1194674355
15 10535.119765354573
16 10535.120031545617
17 10535.120270862884
18 10535.120487212658
19 10535.120683774787
20 10535.120863164862
21 10535.12102755462
22 10535.121178762492
23 10535.121318323063
24 10535.121447540476
25 10535.121567530348
26 10535.121679252703
27 10535.121783538332
28 10535.121881109846
29 10535.121972598838
30 10535.122058559728
31 10535.122139481395
32 10535.12221579643
33 10535.122287889166
34 10535.122356102147
35 10535.122420741774
36 10535.122482082865
37 10535.122540372704
38 10535.122595834358
39 10535.122648669616
40 10535.12269906147
41 10535.122747176201
42 10535.122793165367
43 10535.122837167293
44 10535.122879308501
45 10535.12291970502
46 10535.122958463362
47 10535.122995681537
48 10535.12303144987
49 10535.123065851725
50 10535.12309896421
51 10535.12313085872
52 10535.123161601441
53 10535.123191253813
54 10535.123219873069
55 10535.1232475124
56 10535.12327422143
57 10535.123300046505
58 10535.123325030912
59 10535.123349215139
60 10535.123372637152
61 10535.123395332506
62 10535.123417334611
63 10535.123438674815
64 10535.123459382612
65 10535.123479485814
66 10535.123499010546
67 10535.123517981508
68 10535.12353642198
69 10535.123554353962
70 10535.123571798227
71 10535.123588774506
72 10535.123605301373
73 10535.123621396511
74 10535.12363707665
75 10535.123652357664
76 10535.123667254642
77 10535.123681781919
78 10535.123695953105
79 10535.123709781168
80 10535.123723278468
81 10535.123736456713
82 10535.123749327146
83 10535.12376190043
84 10535.12377418677
85 10535.123786195898
86 10535.123797937085
87 10535.123809419254
88 10535.123820650873
89 10535.123831640083
90 10535.123842394652
91 10535.12385292204
92 10535.123863229373
93 10535.123873323522
94 10535.123883211003
95 10535.123892898127
96 10535.12390239095
97 10535.123911695246
98 10535.123920816608
99 10535.123929760359
100 10535.123938531691
